sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1784992352633,1784992352633-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=adbc59f2a8afb3e33772b3fc20c8d861,ฉันจะกลับบ้าน,คุณลูกค้าหมายถึงบริการส่งของกลับบ้านใช่ไหมคะ ถ้าใช่ ทางเรามีบริการส่งของกลับบ้านค่ะ คุณสามารถติดต่อสอบถามได้ที่เคาน์เตอร์ประชาสัมพันธ์ หรือร้านค้าที่ร่วมรายการได้เลยนะคะ,th-TH,,FALSE,2026-07-25T22:12:34.842+07:00,2026-07-25T22:12:50.818+07:00,Misc,,,,,,1,"going home,leaving",TheMall-002-M8-BKP-03
1784991296582,1784991296582-3,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=da34ed83f79d1e48c7e79dc9f9088e50,ไม่ได้ยิน,ฉันอยู่ที่นี่เพื่อช่วยคุณค่ะ มีอะไรให้ช่วยไหมคะ?,th-TH,,FALSE,2026-07-25T21:55:20.473+07:00,2026-07-25T21:55:25.999+07:00,TranscriptionError,,,,,,3,,TheMall-002-M8-BKP-03
1784991296582,1784991296582-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=40aef05529912eb6e521a8a0261a2dc3,ศูนย์ True อยู่ที่ไหน,interrupt,th-TH,,,2026-07-25T21:55:13.971+07:00,2026-07-25T21:55:18.757+07:00,Map and Navigation,,TRUE,,,,2,,TheMall-002-M8-BKP-03
1784991296582,1784991296582-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=a076a1fa075b975c110e56d04e6f856b,สวัสดี,สวัสดีค่ะ ยินดีต้อนรับสู่เดอะมอลล์ไลฟ์สโตร์ บางกะปิค่ะ มีอะไรให้ M-Agent ช่วยเหลือคุณได้บ้างคะ?,th-TH,,FALSE,2026-07-25T21:54:58.174+07:00,2026-07-25T21:55:07.449+07:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1784988913047,1784988913047-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US,,FALSE,2026-07-25T21:31:44.133+07:00,2026-07-25T21:31:50.996+07:00,Map and Navigation,,,,,,1,,TheMall-002-M8-BKP-03
1784983938268,1784983938268-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",en-US,,FALSE,2026-07-25T21:14:36.688+07:00,2026-07-25T21:14:45.967+07:00,Products & Services,Beverages,,,,,1,,TheMall-002-M8-BKP-03
1784987839798,1784987839798-1,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,EP,ร้าน EP เป็นร้านเสื้อผ้าแฟชั่นสำหรับสุภาพสตรีค่ะ ร้านอยู่ที่ชั้น M ของ The Mall Lifestore Bangkapi ค่ะ,th-TH,,FALSE,2026-07-25T20:57:32.836+07:00,2026-07-25T20:57:41.563+07:00,Shop Specific,fashion,,,,,1,"EP,fashion,boutique",TheMall-001-M8-BKP-01
1784987810401,1784987810401-1,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,ep,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ ""ep"" ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",th-TH,,TRUE,2026-07-25T20:57:00.361+07:00,2026-07-25T20:57:07.354+07:00,TranscriptionError,,,,,,1,,TheMall-001-M8-BKP-01
1784976545199,1784976545199-2,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,EP,"Oh, you're looking for **Ep**!  It's a lovely ladies' boutique offering fashion apparel, and you can find it on the **M** floor of The Mall Lifestore Bangkapi.  We also have **ESP** on the **M** floor, which is another ladies' boutique with fashion apparel and accessories.  If you're interested in other fashion stores, we have **Jessica Red** and **Giordano Ladies** also on the **M** floor.  On the **G** floor, you can find **HLA CONCEPT STORE** and **ONLY P**.  And on the **1st** floor, there's **KHAKI BROS**, **2nd Street**, and **ALBEDO**.",en-US,,FALSE,2026-07-25T20:56:10.171+07:00,2026-07-25T20:56:36.877+07:00,Shop Specific,fashion,Ep,,,,2,"EP,fashion,clothing,apparel",TheMall-001-M8-BKP-01
1784976545199,1784976545199-1,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US,,FALSE,2026-07-25T20:56:00.750+07:00,2026-07-25T20:56:08.029+07:00,Map and Navigation,,,,,,1,,TheMall-001-M8-BKP-01
